,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
51,Lenovo Smartchoice Ideapad 5 2-in-1 13th Gen Intel Core i5-13420H (16GB RAM/512GB SSD/Windows 11/Office Home 2024/WUXGA IPS/14 (35.5cm)/Touchscreen 2-in-1/3Mon.Game Pass/Grey/1.6kg),"74,090",i5,LENOVO,16GB,4.1,512GB,Windows 11,Grey,(23% off),35.5
52,acer SmartChoice ALG,"62,990",i5,ACER,6GB,4.0,512GB,Windows 11,Gray,(16% off),15.6
53,MSI Crosshair 16 HX,"1,69,926",i7,MSI,N/A,3.8,1TB,Windows 11,Gray,(14% off),41
54,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg)","45,490",i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,(33% off),14
55,Primebook 2 Max 2025 (New Launch),"22,990",,PRIMEBOOK,8GB,4.3,8GB,N/A,Gray,(34% off),N/A
56,"Samsung Galaxy Book 4 15.6"" Full HD","55,150",i5,SAMSUNG,16GB,4.9,512GB,Windows 11,Silver,(29% off),15.6
57,HP Victus,"80,490",i5,HP,24GB,3.9,512GB,Windows 11,Silver,(20% off),15.6
58,Dell 15,"39,990",,DELL,8GB,4.0,512GB,Windows 11,Black,(16% off),15.6
59,HP 15,"39,990",i3,HP,8GB,3.9,512GB,Windows 11,Silver,(21% off),15.6
60,HP Professional 14 (2025),"44,050",i3,HP,N/A,5.0,512GB,Windows 11,Silver,(10% off),14.0
61,ASUS Vivobook 15 (2025),"37,927",i3,ASUS,8GB,5.0,512GB,Windows 11,Silver,(26% off),15.6
62,ASUS Zenbook 14,"1,14,990",,ASUS,N/A,4.1,32GB,Windows 11,Blue,(28% off),14
63,ASUS Vivobook Go 14,"42,990",Ryzen 5,ASUS,16GB,4.5,512GB,Windows 11,Black,(19% off),N/A
64,Primebook 2 Pro 2025 (New Launch),"19,990",,PRIMEBOOK,8GB,4.4,8GB,N/A,Gray,(33% off),N/A
65,MSI Katana 15 HX,"1,02,990",i5,MSI,N/A,N/A,512GB,Windows 11,Black,(10% off),40
66,Primebook 2 Max 2025 (New Launch),"22,990",,PRIMEBOOK,8GB,4.3,8GB,N/A,Gray,(34% off),N/A
67,Primebook 2 Pro 2025 (New Launch),"19,990",,PRIMEBOOK,8GB,4.4,8GB,N/A,Gray,(33% off),N/A
68,ASUS Vivobook Go 14,"42,990",Ryzen 5,ASUS,16GB,4.5,512GB,Windows 11,Black,(19% off),N/A
69,HP Laptop 15,"55,990",i5,HP,16GB,4.0,512GB,Windows 11,Silver,(22% off),15.6
70,Lenovo IdeaPad 5 2-in-1 AMD Ryzen AI 7 350 (24GB RAM/1TB SSD/14 (35.5cm)/WUXGA OLED/Windows 11/Lenovo AI Now/Copilot+PC/Office Home 2024/Digital Pen 2/Grey/1.5Kg),"99,990",,LENOVO,24GB,4.1,1TB,Windows 11,Grey,(25% off),35.5
71,HP Omen,"1,64,490",i9,HP,24GB,3.6,1TB,Windows 11,Black,(14% off),16
72,HP Professional 14 (2025),"57,900",i3,HP,N/A,5.0,512GB,Windows 11,Silver,(12% off),14.0
73,ASUS Vivobook Go 15,"38,500",Ryzen 3,ASUS,8GB,4.0,512GB,Windows 11,Silver,(30% off),15.6
74,HP 14,"84,790",,HP,24GB,3.0,1TB,Windows 11,Silver,(4% off),14
75,HP Victus,"77,526",i5,HP,16GB,4.0,512GB,Windows 11,Silver,(20% off),15.6
76,HP OmniBook 5 OLED (Previously Pavilion),"66,990",,HP,16GB,4.1,512GB,Windows 11,Silver,(20% off),14
77,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg)","45,490",i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,(33% off),14
78,acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512GB SSD) AL15-52,"37,990",i3,ACER,16GB,4.0,512GB,Windows 11,Gray,(28% off),62
79,Lenovo IdeaPad Slim 3,"38,490",i3,LENOVO,8GB,3.9,512GB,Windows 11,Grey,(28% off),15.6
80,ASUS TUF A15,N/A,Ryzen 7,ASUS,32GB,4.2,1TB,Windows 11,Graphite,N/A,15.6
81,Thomson NEO 14.1 Inch IN-P14C Intel Dual Core 4020 & Window 11 Notebook (8 GB RAM DDR4/ 256 GB SSD/Numeric Touch Pad/1MP Webcam/White),"14,990",,THOMSON,8GB,5.0,256GB,N/A,White,(46% off),N/A
82,STRIFF Laptop Tabletop Stand,199,,STRIFF,N/A,4.2,N/A,N/A,Black,(87% off),N/A
83,Lenovo 14 (2025),"54,150",i5,LENOVO,N/A,4.0,512GB,Windows 11,Grey,(45% off),14.0
84,Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram,"32,999",,LENOVO,8GB,3.9,512GB,Windows 11,Silver,(58% off),15.6
85,Acer Aspire Lite,"46,990",Ryzen 7,ACER,16GB,4.0,512GB,Windows 11,Gray,(30% off),15.6
86,HP 15,"56,990",Ryzen 7,HP,16GB,4.0,512GB,Windows 11,Silver,(22% off),15.6
87,HP 15,"60,490",i5,HP,16GB,4.0,512GB,Windows 11,Silver,(12% off),15.6
88,HP OmniBook 5 OLED (Previously Pavilion),"66,990",,HP,16GB,4.1,512GB,Windows 11,Silver,(20% off),14
89,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg)","45,490",i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,(33% off),14
90,"Lenovo IdeaPad Slim 3 13th Gen Core i7-13620H 15.3"" (38.8cm) WUXGA IPS Laptop (24GB RAM/1TB SSD/Win 11/Office 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg)","90,990",i7,LENOVO,24GB,4.1,1TB,Windows 11,Grey,(27% off),15.3
91,"DELL PRO 15 (2025) AMD Ryzen 5 7520U Quad Core - (8 GB DDR5/512 GB SSD/AMD Radeon 610M Graphics/Windows 11 Pro) Thin and Light Business Laptop/Backlit/15.6"" FHD Display/Black/1.5 kg/MSO 2021","37,990",Ryzen 5,DELL,8GB,5.0,512GB,Windows 11,Black,(19% off),15.6
92,Lenovo IdeaPad Slim 5,"92,990",,LENOVO,24GB,3.7,1TB,Windows 11,Grey,(26% off),14
93,ASUS Vivobook 15,"63,990",i7,ASUS,16GB,4.0,512GB,Windows 11,Blue,(26% off),15.6
94,HP Omnibook 5 OLED,"69,990",,HP,16GB,4.1,1TB,Windows 11,Silver,(19% off),16
95,ASUS TUF F16,"1,99,990",i7,ASUS,N/A,4.4,8GB,Windows 11,Gray,(7% off),16
96,HP Victus,"1,19,490",i7,HP,24GB,4.2,1TB,Windows 11,Silver,(12% off),15.6
97,ASUS TUF A16 (2025),"89,990",Ryzen 7,ASUS,16GB,4.1,1TB,Windows 11,Gray,(22% off),16
98,HP 15,"56,990",Ryzen 7,HP,16GB,4.0,512GB,Windows 11,Silver,(22% off),15.6
99,"Lenovo V15 12th Gen Intel Core i5-1235U 15.6"" FHD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg)","47,999",i5,LENOVO,8GB,4.1,512GB,Windows 11,Grey,(46% off),15.6
100,"Lenovo Yoga Slim 7 (Smartchoice) Intel Core Ultra 9 185H 14""(35.5cm) WUXGA-OLED Laptop (32GB RAM/1TB SSD/AI PC/Windows 11/Microsoft 365 Basic + Office Home 2024/1Yr ADP Free/Grey/1.39Kg)","1,09,990",,LENOVO,32GB,4.1,1TB,Windows 11,Grey,(30% off),14
101,ASUS Gaming V16,"1,09,990",,ASUS,16GB,4.1,512GB,Windows 11,Black,(27% off),16
102,acer Nitro Lite 16,"64,400",i5,ACER,N/A,4.2,6GB,Windows 11,White,(24% off),16.0
103,ASUS Vivobook 14 (2025),"36,990",i3,ASUS,8GB,5.0,512GB,Windows 11,Silver,(27% off),14
104,Lenovo LOQ 2024,"89,990",i5,LENOVO,16GB,4.1,512GB,Windows 11,Grey,(22% off),15.6
105,HP Omen,"1,77,990",,HP,32GB,4.5,1TB,Windows 11,Black,(12% off),16
106,ASUS Gaming V16 (2025) 14th Gen,"92,990",,ASUS,16GB,4.2,512GB,Windows 11,Black,(18% off),N/A
107,Dell 15,"44,326",,DELL,16GB,3.9,512GB,Windows 11,Black,(16% off),15.6
108,Primebook 2 Max 2025 (New Launch),"22,990",,PRIMEBOOK,8GB,4.3,8GB,N/A,Gray,(34% off),N/A
109,Primebook 2 Pro 2025 (New Launch),"19,990",,PRIMEBOOK,8GB,4.4,8GB,N/A,Gray,(33% off),N/A
110,HP OmniBook 5 OLED (Previously Pavilion),"66,990",,HP,16GB,4.1,512GB,Windows 11,Silver,(20% off),14
111,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg)","45,490",i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,(33% off),14
112,Dell 15,"44,326",,DELL,16GB,3.9,512GB,Windows 11,Black,(16% off),15.6
113,acer Aspire Lite,"58,990",i7,ACER,16GB,4.0,512GB,Windows 11,Silver,(20% off),15.6
114,ASUS Vivobook S14,"80,990",,ASUS,16GB,4.5,512GB,Windows 11,Silver,(27% off),14
115,HP Smartchoice Victus,"92,990",i7,HP,16GB,4.0,512GB,Windows 11,Silver,(8% off),15.6
116,ASUS Vivobook 15,"40,940",i3,ASUS,16GB,4.2,512GB,Windows 11,Silver,(26% off),15.6
117,acer Nitro V 15,"76,990",Ryzen 7,ACER,16GB,3.7,512GB,Windows 11,Black,(29% off),15.6
118,HP OmniBook 7 OLED,"1,18,990",,HP,32GB,3.7,1TB,Windows 11,Silver,(7% off),14
119,HP 15 (2025),"37,200",Ryzen 3,HP,8GB,N/A,512GB,Windows 11,Silver,(19% off),15.6
120,HP 15,"56,990",Ryzen 7,HP,16GB,4.0,512GB,Windows 11,Silver,(22% off),15.6
121,"Lenovo V15 12th Gen Intel Core i5-1235U 15.6"" FHD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg)","47,999",i5,LENOVO,8GB,4.1,512GB,Windows 11,Grey,(46% off),15.6
122,HP Omen,"1,38,990",i7,HP,24GB,4.3,1TB,Windows 11,Black,(15% off),16
123,Dell 15,"56,990",i5,DELL,16GB,3.7,512GB,Windows 11,Grey,(21% off),15.6
124,ASUS Vivobook Go 14,"34,990",Ryzen 3,ASUS,8GB,3.5,512GB,Windows 11,Silver,(20% off),N/A
125,Lenovo Yoga Slim 7,"84,990",,LENOVO,16GB,4.3,512GB,Windows 11,Grey,(25% off),14
126,Lenovo LOQ,"1,30,990",i7,LENOVO,16GB,4.0,1TB,Windows 11,Grey,(19% off),15.6
127,"acer Aspire 3 Intel Pentium N100 Processor Laptop with 35.56 cm (14"") Full HD IPS Display (16 GB RAM/512 GB SSD/Intel Graphics/Win11 Home/WiFi 6/38Wh) A324-31","34,990",,ACER,16GB,4.2,512GB,Windows 11,Gray,(5% off),56
128,"DELL 14 (Renewed) Intel Core 3 14th Gen 100U - (8 GB DDR5/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD+ IPS Display/Ice Blue/1.4 kg/MSO 2021","37,650",,DELL,8GB,N/A,512GB,Windows 11,Blue,(36% off),14.0
129,HP Victus,"69,999",Ryzen 7,HP,16GB,N/A,1TB,Windows 11,Blue,(15% off),15.6
130,Primebook 2 Max 2025 (New Launch),"22,990",,PRIMEBOOK,8GB,4.3,8GB,N/A,Gray,(34% off),N/A
131,Primebook 2 Pro 2025 (New Launch),"19,990",,PRIMEBOOK,8GB,4.4,8GB,N/A,Gray,(33% off),N/A
132,HP OmniBook 5 OLED (Previously Pavilion),"66,990",N/A,HP,16GB,4.1,512GB,Windows 11,Silver,,
133,HP 15,"56,990",AMD Ryzen 7 7735HS,HP,16GB,4.0,512GB,Windows 11,Silver,,
134,"EBook 11.6"" HD Laptop","10,990",N/A,EBOOK,4GB,3.8,4GB,Windows 11,Black,,
135,HP 15,"41,990",Intel Core i3-1315U,HP,12GB,4.1,512GB,Windows 11,Silver,,
136,JioBook 11 with Lifetime Office,"10,990",Mediatek,JIOBOOK,4GB,2.9,4GB,N/A,Blue,,
137,"BrowseBook 14.1"" FHD IPS Laptop","12,990",N/A,BROWSEBOOK,4GB,3.0,128GB,Windows 11,Grey,,
138,Ienovo ThinkPad L14,"25,995",N/A,IENOVO,8GB,N/A,256GB,Windows 10,N/A,,
139,Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg),N/A,Intel Celeron,LENOVO,4GB,3.9,4GB,N/A,Blue,,
140,HP 15,"36,990",AMD Ryzen 3 7320U,HP,8GB,4.0,512GB,Windows 11,Silver,,
141,HP 15 Consumer Series Laptop,"41,990",Intel Core i3-1315U,HP,12GB,4.1,512GB,Windows 11,Silver,,
142,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg)","45,490",Intel Core i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,,
143,Primebook 2 Max 2025 (New Launch),"22,990",MediaTek,PRIMEBOOK,8GB,4.3,8GB,N/A,Gray,,
144,"HP 14s Intel Celeron Dual Core N4500 Laptop (8GB/512GB SSD/Win 11) 14.0"" HD Display","29,990",Intel Celeron,HP,N/A,3.3,512GB,Windows 11,Black,,
145,ASUS Vivobook Go 14,"34,670",AMD Ryzen 3 7320U,ASUS,8GB,4.1,512GB,Windows 11,Black,,
146,Thomson NEO 14.1 Inch IN-N14C Intel Celeron Dual Core N4020 Processor Windows 11 Home Notebook (8 GB RAM DDR4/ 256 GB SSD/Thin & Light Weight/Silver/Non Stop Performance Beyond 15 Hrs),"17,990",Intel Celeron,THOMSON,8GB,4.5,256GB,Windows 11,Silver,,
147,ASUS Vivobook 14,"36,675",Intel Core i3,ASUS,8GB,3.9,512GB,Windows 11,Silver,,
148,ASUS Vivobook 15 (2025),"49,820",AMD Ryzen 7 7730U Thin,ASUS,16GB,4.3,512GB,Windows 11,Blue,,
149,Dell 15,"42,990",Intel Core i3,DELL,16GB,3.9,512GB,Windows 11,Grey,,
150,Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Home Notebook (4 GB RAM DDR4/ 128 GB SSD/Numeric Touch Pad/Thin & Light Weight/Silver),"12,990",Intel Celeron,THOMSON,4GB,3.0,128GB,N/A,Silver,,
151,Walker Best Student & Office Work Laptop,"16,990",Intel Celeron,WALKER,8GB,3.0,256GB,Windows 11,Silver,,
152,MSI Katana 15 HX,"1,02,990",N/A,MSI,N/A,N/A,512GB,Windows 11,Black,,
153,Primebook 2 Pro 2025 (New Launch),"19,990",MediaTek,PRIMEBOOK,8GB,4.4,8GB,N/A,Gray,,
154,HP OmniBook 5 OLED (Previously Pavilion),"66,990",N/A,HP,16GB,4.1,512GB,Windows 11,Silver,,
155,HP 15,"56,990",AMD Ryzen 7 7735HS,HP,16GB,4.0,512GB,Windows 11,Silver,,
156,"EBook 11.6"" HD Laptop","10,990",N/A,EBOOK,4GB,3.8,4GB,Windows 11,Black,,
157,HP 15,"41,990",Intel Core i3-1315U,HP,12GB,4.1,512GB,Windows 11,Silver,,
158,JioBook 11 with Lifetime Office,"10,990",Mediatek,JIOBOOK,4GB,2.9,4GB,N/A,Blue,,
159,"BrowseBook 14.1"" FHD IPS Laptop","12,990",N/A,BROWSEBOOK,4GB,3.0,128GB,Windows 11,Grey,,
160,Ienovo ThinkPad L14,"25,995",N/A,IENOVO,8GB,N/A,256GB,Windows 10,N/A,,
161,Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg),N/A,Intel Celeron,LENOVO,4GB,3.9,4GB,N/A,Blue,,
162,HP 15,"36,990",AMD Ryzen 3 7320U,HP,8GB,4.0,512GB,Windows 11,Silver,,
163,HP 15 Consumer Series Laptop,"41,990",Intel Core i3-1315U,HP,12GB,4.1,512GB,Windows 11,Silver,,
164,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg)","45,490",Intel Core i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,,
165,Primebook 2 Max 2025 (New Launch),"22,990",MediaTek,PRIMEBOOK,8GB,4.3,8GB,N/A,Gray,,
166,"HP 14s Intel Celeron Dual Core N4500 Laptop (8GB/512GB SSD/Win 11) 14.0"" HD Display","29,990",Intel Celeron,HP,N/A,3.3,512GB,Windows 11,Black,,
167,ASUS Vivobook Go 14,"34,670",AMD Ryzen 3 7320U,ASUS,8GB,4.1,512GB,Windows 11,Black,,
168,Thomson NEO 14.1 Inch IN-N14C Intel Celeron Dual Core N4020 Processor Windows 11 Home Notebook (8 GB RAM DDR4/ 256 GB SSD/Thin & Light Weight/Silver/Non Stop Performance Beyond 15 Hrs),"17,990",Intel Celeron,THOMSON,8GB,4.5,256GB,Windows 11,Silver,,
169,ASUS Vivobook 14,"36,675",Intel Core i3,ASUS,8GB,3.9,512GB,Windows 11,Silver,,
170,ASUS Vivobook 15 (2025),"49,820",AMD Ryzen 7 7730U Thin,ASUS,16GB,4.3,512GB,Windows 11,Blue,,
171,Dell 15,"42,990",Intel Core i3,DELL,16GB,3.9,512GB,Windows 11,Grey,,
172,Walker Best Student & Office Work Laptop,"16,990",Intel Celeron,WALKER,8GB,3.0,256GB,Windows 11,Silver,,
173,Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Home Notebook (4 GB RAM DDR4/ 128 GB SSD/Numeric Touch Pad/Thin & Light Weight/Silver),"12,990",Intel Celeron,THOMSON,4GB,3.0,128GB,N/A,Silver,,
174,MSI Katana 15 HX,"1,02,990",N/A,MSI,N/A,N/A,512GB,Windows 11,Black,,
175,Primebook 2 Pro 2025 (New Launch),"19,990",MediaTek,PRIMEBOOK,8GB,4.4,8GB,N/A,Gray,,
176,HP OmniBook 5 OLED (Previously Pavilion),"66,990",N/A,HP,16GB,4.1,512GB,Windows 11,Silver,,
177,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg)","45,490",Intel Core i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,,
178,Walker Best Student & Office Work Laptop,"16,990",Intel Celeron,WALKER,8GB,3.0,256GB,Windows 11,Silver,,
179,HP Smartchoice Omen AMD Ryzen 7 7840Hs,"1,26,220",AMD Ryzen 7 7840Hs,HP,16GB,4.0,1TB,Windows 11,Black,,
