,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
40,Microsoft New Surface Pro (11th Edition) - Windows 11 Home Copilot + PC - 13” OLED PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 32GB RAM - 1TB SSD - Platinum - ZID-00014,243990.0,,MICROSOFT,32GB,2.9,1TB,Windows 11,Platinum,2.0,
41,ASUS Vivobook S16,67990.0,,ASUS,16GB,4.3,512GB,Windows 11,Metallic,1.0,16.0
42,Primebook 2 Pro 2025 (New Launch),19990.0,,PRIMEBOOK,8GB,4.4,8GB,,Gray,33.0,
43,Primebook 2 Pro 2025 (New Launch),19990.0,,PRIMEBOOK,8GB,4.4,8GB,,,33.0,
44,HP OmniBook 5 OLED (Previously Pavilion),66990.0,,HP,16GB,4.1,512GB,Windows 11,Silver,20.0,14.0
45,HP 15,56990.0,Ryzen 7,HP,16GB,4.0,512GB,Windows 11,Silver,22.0,15.6
46,HP 15 255R G10,38990.0,Ryzen 5,HP,,4.5,512GB,Windows 11,Silver,13.0,
47,HP 15,67990.0,i7,HP,16GB,4.0,512GB,Windows 11,Silver,16.0,39.6
48,ASUS Vivobook 15,36990.0,i3,ASUS,8GB,4.2,512GB,Windows 11,Silver,27.0,15.6
49,"DELL 14 (2026) Intel Core 3 14th Gen 100U - (16 GB DDR5/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD+ IPS Display/Ice Blue/1.4 kg/MSO 2021",45299.0,,DELL,16GB,5.0,512GB,Windows 11,Blue,31.0,14.0
50,MSI Raider 18,499990.0,,MSI,,3.0,4TB,Windows 11,Black,11.0,46.0
51,Lenovo Smartchoice Ideapad 5 2-in-1 13th Gen Intel Core i5-13420H (16GB RAM/512GB SSD/Windows 11/Office Home 2024/WUXGA IPS/14 (35.5cm)/Touchscreen 2-in-1/3Mon.Game Pass/Grey/1.6kg),74090.0,i5,LENOVO,16GB,4.1,512GB,Windows 11,Grey,23.0,35.5
